,MANEMP
1939-01-31,
1939-02-28,98.0
1939-03-31,100.0
1939-04-30,34.0
1939-05-31,-10.0
1939-06-30,16.0
1939-07-31,-84.0
1939-08-31,169.0
1939-09-30,204.0
1939-10-31,269.0
1939-11-30,23.0
1939-12-31,53.0
1940-01-31,-22.0
1940-02-29,-11.0
1940-03-31,-32.0
1940-04-30,-67.0
1940-05-31,-7.0
1940-06-30,22.0
1940-07-31,-66.0
1940-08-31,282.0
1940-09-30,210.0
1940-10-31,213.0
1940-11-30,172.0
1940-12-31,204.0
1941-01-31,146.0
1941-02-28,218.0
1941-03-31,198.0
1941-04-30,289.0
1941-05-31,259.0
1941-06-30,247.0
1941-07-31,178.0
1941-08-31,150.0
1941-09-30,151.0
1941-10-31,87.0
1941-11-30,40.0
1941-12-31,66.0
1942-01-31,89.0
1942-02-28,162.0
1942-03-31,184.0
1942-04-30,198.0
1942-05-31,195.0
1942-06-30,138.0
1942-07-31,230.0
1942-08-31,267.0
1942-09-30,243.0
1942-10-31,190.0
1942-11-30,199.0
1942-12-31,317.0
1943-01-31,244.0
1943-02-28,153.0
1943-03-31,171.0
1943-04-30,105.0
1943-05-31,83.0
1943-06-30,160.0
1943-07-31,102.0
1943-08-31,63.0
1943-09-30,-3.0
1943-10-31,146.0
1943-11-30,86.0
1943-12-31,-72.0
1944-01-31,-87.0
1944-02-29,-109.0
1944-03-31,-160.0
1944-04-30,-158.0
1944-05-31,-68.0
1944-06-30,-54.0
1944-07-31,-58.0
1944-08-31,-51.0
1944-09-30,-119.0
1944-10-31,-32.0
1944-11-30,-62.0
1944-12-31,91.0
1945-01-31,10.0
1945-02-28,-88.0
1945-03-31,-108.0
1945-04-30,-138.0
1945-05-31,-134.0
1945-06-30,-253.0
1945-07-31,-349.0
1945-08-31,-398.0
1945-09-30,-1715.0
1945-10-31,1.0
1945-11-30,50.0
1945-12-31,-9.0
1946-01-31,191.0
1946-02-28,-797.0
1946-03-31,623.0
1946-04-30,655.0
1946-05-31,189.0
1946-06-30,209.0
