,PAYEMS
1939-01-31,
1939-02-28,177.0
1939-03-31,180.0
1939-04-30,-186.0
1939-05-31,205.0
1939-06-30,203.0
1939-07-31,-83.0
1939-08-31,244.0
1939-09-30,368.0
1939-10-31,380.0
1939-11-30,59.0
1939-12-31,72.0
1940-01-31,61.0
1940-02-29,112.0
1940-03-31,110.0
1940-04-30,-124.0
1940-05-31,178.0
1940-06-30,98.0
1940-07-31,-35.0
1940-08-31,410.0
1940-09-30,458.0
1940-10-31,457.0
1940-11-30,402.0
1940-12-31,505.0
1941-01-31,307.0
1941-02-28,362.0
1941-03-31,249.0
1941-04-30,376.0
1941-05-31,714.0
1941-06-30,468.0
1941-07-31,487.0
1941-08-31,407.0
1941-09-30,291.0
1941-10-31,114.0
1941-11-30,75.0
1941-12-31,80.0
1942-01-31,243.0
1942-02-28,165.0
1942-03-31,423.0
1942-04-30,417.0
1942-05-31,419.0
1942-06-30,258.0
1942-07-31,443.0
1942-08-31,516.0
1942-09-30,271.0
1942-10-31,256.0
1942-11-30,159.0
1942-12-31,241.0
1943-01-31,257.0
1943-02-28,221.0
1943-03-31,159.0
1943-04-30,95.0
1943-05-31,-51.0
1943-06-30,185.0
1943-07-31,-81.0
1943-08-31,-154.0
1943-09-30,-54.0
1943-10-31,183.0
1943-11-30,146.0
1943-12-31,-75.0
1944-01-31,-92.0
1944-02-29,-116.0
1944-03-31,-244.0
1944-04-30,-231.0
1944-05-31,-78.0
1944-06-30,-38.0
1944-07-31,-43.0
1944-08-31,-54.0
1944-09-30,-171.0
1944-10-31,29.0
1944-11-30,3.0
1944-12-31,149.0
1945-01-31,35.0
1945-02-28,2.0
1945-03-31,-99.0
1945-04-30,-352.0
1945-05-31,-142.0
1945-06-30,-155.0
1945-07-31,-275.0
1945-08-31,-408.0
1945-09-30,-1959.0
1945-10-31,93.0
1945-11-30,396.0
1945-12-31,114.0
1946-01-31,719.0
1946-02-28,-585.0
1946-03-31,951.0
1946-04-30,718.0
1946-05-31,436.0
1946-06-30,386.0
1946-07-31,418.0
1946-08-31,489.0
1946-09-30,273.0
1946-10-31,178.0
1946-11-30,302.0
1946-12-31,-16.0
1947-01-31,156.0
1947-02-28,22.0
1947-03-31,50.0
1947-04-30,-108.0
1947-05-31,139.0
1947-06-30,172.0
1947-07-31,-67.0
1947-08-31,217.0
1947-09-30,243.0
1947-10-31,208.0
1947-11-30,73.0
1947-12-31,97.0
1948-01-31,98.0
1948-02-29,-146.0
1948-03-31,150.0
1948-04-30,-304.0
1948-05-31,417.0
1948-06-30,238.0
1948-07-31,126.0
1948-08-31,18.0
1948-09-30,116.0
1948-10-31,-49.0
1948-11-30,-53.0
1948-12-31,-160.0
1949-01-31,-364.0
1949-02-28,-171.0
1949-03-31,-257.0
1949-04-30,-4.0
1949-05-31,-252.0
1949-06-30,-245.0
1949-07-31,-208.0
1949-08-31,93.0
1949-09-30,156.0
1949-10-31,-838.0
1949-11-30,300.0
1949-12-31,280.0
1950-01-31,4.0
1950-02-28,-229.0
1950-03-31,657.0
1950-04-30,428.0
1950-05-31,336.0
1950-06-30,365.0
1950-07-31,371.0
1950-08-31,738.0
1950-09-30,246.0
1950-10-31,268.0
1950-11-30,70.0
1950-12-31,85.0
1951-01-31,427.0
1951-02-28,289.0
1951-03-31,296.0
1951-04-30,-12.0
1951-05-31,91.0
1951-06-30,112.0
1951-07-31,-3.0
1951-08-31,-49.0
1951-09-30,-58.0
1951-10-31,52.0
1951-11-30,141.0
1951-12-31,167.0
1952-01-31,-18.0
1952-02-29,226.0
1952-03-31,-18.0
1952-04-30,116.0
1952-05-31,22.0
1952-06-30,-360.0
1952-07-31,-139.0
1952-08-31,781.0
1952-09-30,396.0
1952-10-31,277.0
1952-11-30,219.0
1952-12-31,350.0
1953-01-31,-22.0
1953-02-28,195.0
1953-03-31,134.0
1953-04-30,-38.0
1953-05-31,55.0
1953-06-30,29.0
1953-07-31,17.0
1953-08-31,-47.0
1953-09-30,-121.0
1953-10-31,-128.0
1953-11-30,-332.0
1953-12-31,-205.0
1954-01-31,-234.0
1954-02-28,-87.0
1954-03-31,-225.0
1954-04-30,22.0
1954-05-31,-214.0
1954-06-30,-70.0
1954-07-31,-60.0
1954-08-31,-9.0
1954-09-30,60.0
1954-10-31,56.0
1954-11-30,238.0
1954-12-31,151.0
1955-01-31,165.0
1955-02-28,148.0
1955-03-31,318.0
1955-04-30,286.0
1955-05-31,264.0
1955-06-30,278.0
1955-07-31,197.0
1955-08-31,124.0
1955-09-30,155.0
1955-10-31,163.0
1955-11-30,163.0
1955-12-31,213.0
1956-01-31,170.0
1956-02-29,192.0
1956-03-31,127.0
1956-04-30,81.0
1956-05-31,131.0
1956-06-30,80.0
1956-07-31,-631.0
1956-08-31,676.0
1956-09-30,-27.0
1956-10-31,173.0
1956-11-30,44.0
1956-12-31,108.0
1957-01-31,-42.0
1957-02-28,210.0
1957-03-31,59.0
1957-04-30,82.0
1957-05-31,-88.0
1957-06-30,-83.0
1957-07-31,56.0
1957-08-31,5.0
1957-09-30,-194.0
1957-10-31,-171.0
1957-11-30,-205.0
1957-12-31,-174.0
1958-01-31,-308.0
1958-02-28,-500.0
1958-03-31,-277.0
1958-04-30,-272.0
1958-05-31,-113.0
1958-06-30,0.0
1958-07-31,125.0
1958-08-31,194.0
1958-09-30,273.0
1958-10-31,-21.0
1958-11-30,459.0
1958-12-31,141.0
1959-01-31,393.0
1959-02-28,210.0
1959-03-31,326.0
1959-04-30,307.0
1959-05-31,229.0
1959-06-30,131.0
1959-07-31,123.0
1959-08-31,-468.0
1959-09-30,92.0
1959-10-31,-70.0
1959-11-30,276.0
1959-12-31,540.0
1960-01-31,100.0
1960-02-29,239.0
1960-03-31,-59.0
1960-04-30,359.0
1960-05-31,-338.0
1960-06-30,-127.0
1960-07-31,-42.0
1960-08-31,-34.0
1960-09-30,-45.0
1960-10-31,-85.0
1960-11-30,-181.0
1960-12-31,-219.0
1961-01-31,-59.0
1961-02-28,-126.0
1961-03-31,102.0
1961-04-30,-32.0
1961-05-31,159.0
1961-06-30,191.0
1961-07-31,146.0
1961-08-31,175.0
1961-09-30,90.0
1961-10-31,134.0
1961-11-30,220.0
1961-12-31,130.0
1962-01-31,19.0
1962-02-28,297.0
1962-03-31,87.0
1962-04-30,327.0
1962-05-31,26.0
1962-06-30,16.0
1962-07-31,102.0
1962-08-31,92.0
1962-09-30,140.0
1962-10-31,63.0
1962-11-30,15.0
1962-12-31,-28.0
1963-01-31,87.0
1963-02-28,115.0
1963-03-31,90.0
1963-04-30,260.0
1963-05-31,36.0
1963-06-30,43.0
1963-07-31,135.0
1963-08-31,116.0
1963-09-30,168.0
1963-10-31,205.0
1963-11-30,-28.0
1963-12-31,106.0
1964-01-31,126.0
1964-02-29,266.0
1964-03-31,144.0
1964-04-30,25.0
1964-05-31,167.0
1964-06-30,130.0
