eval_date,quarter,nowcast_bridge,nowcast_dfm,actual,error_bridge,error_dfm
2005-01-01,Q1 2005,3.766,3.843,4.5,-0.734,-0.657
2005-04-01,Q2 2005,3.42,4.055,2.0,1.42,2.055
2005-07-01,Q3 2005,3.719,3.498,3.2,0.519,0.298
2005-10-01,Q4 2005,2.909,3.158,2.2,0.709,0.958
2006-01-01,Q1 2006,3.824,3.135,5.5,-1.676,-2.365
2006-04-01,Q2 2006,3.83,4.013,1.0,2.83,3.013
2006-07-01,Q3 2006,3.25,3.525,0.6,2.65,2.925
2006-10-01,Q4 2006,3.06,1.916,3.5,-0.44,-1.584
2007-01-01,Q1 2007,3.126,2.647,1.2,1.926,1.447
2007-04-01,Q2 2007,3.317,2.877,2.5,0.817,0.377
2007-07-01,Q3 2007,3.028,2.58,2.3,0.728,0.28
2007-10-01,Q4 2007,2.76,2.769,2.5,0.26,0.269
2008-01-01,Q1 2008,3.005,2.676,-1.7,4.705,4.376
2008-04-01,Q2 2008,2.227,1.48,2.4,-0.173,-0.92
2008-07-01,Q3 2008,1.853,1.25,-2.1,3.953,3.35
2008-10-01,Q4 2008,-0.221,0.853,-8.5,8.279,9.353
2009-01-01,Q1 2009,-2.467,-2.695,-4.5,2.033,1.805
2009-04-01,Q2 2009,-1.913,-5.039,-0.7,-1.213,-4.339
2009-07-01,Q3 2009,0.104,-2.743,1.4,-1.296,-4.143
2009-10-01,Q4 2009,1.912,0.333,4.4,-2.488,-4.067
2010-01-01,Q1 2010,2.293,2.413,1.9,0.393,0.513
2010-04-01,Q2 2010,2.944,2.934,3.9,-0.956,-0.966
2010-07-01,Q3 2010,3.191,2.689,3.1,0.091,-0.411
2010-10-01,Q4 2010,2.616,3.465,2.1,0.516,1.365
2011-01-01,Q1 2011,3.292,2.805,-0.9,4.192,3.705
2011-04-01,Q2 2011,3.211,1.617,2.7,0.511,-1.083
2011-07-01,Q3 2011,2.951,1.874,-0.1,3.051,1.974
2011-10-01,Q4 2011,2.978,2.089,4.6,-1.622,-2.511
2012-01-01,Q1 2012,3.03,2.773,3.4,-0.37,-0.627
2012-04-01,Q2 2012,3.642,4.075,1.8,1.842,2.275
2012-07-01,Q3 2012,2.468,3.088,0.6,1.868,2.488
2012-10-01,Q4 2012,3.0,1.956,0.5,2.5,1.456
2013-01-01,Q1 2013,2.981,1.481,4.0,-1.019,-2.519
2013-04-01,Q2 2013,3.215,2.75,1.1,2.115,1.65
2013-07-01,Q3 2013,2.838,3.026,3.5,-0.662,-0.474
2013-10-01,Q4 2013,3.045,2.788,3.5,-0.455,-0.712
2014-01-01,Q1 2014,3.132,3.637,-1.4,4.532,5.037
2014-04-01,Q2 2014,3.342,1.967,5.3,-1.958,-3.333
2014-07-01,Q3 2014,3.478,2.702,5.0,-1.522,-2.298
2014-10-01,Q4 2014,3.242,4.908,2.0,1.242,2.908
2015-01-01,Q1 2015,3.271,3.828,3.6,-0.329,0.228
2015-04-01,Q2 2015,2.675,3.267,2.5,0.175,0.767
2015-07-01,Q3 2015,3.026,3.384,1.6,1.426,1.784
2015-10-01,Q4 2015,3.007,2.779,0.7,2.307,2.079
2016-01-01,Q1 2016,2.762,2.09,2.3,0.462,-0.21
2016-04-01,Q2 2016,2.747,2.278,1.3,1.447,0.978
2016-07-01,Q3 2016,3.346,2.447,2.9,0.446,-0.453
2016-10-01,Q4 2016,3.152,2.672,2.2,0.952,0.472
2017-01-01,Q1 2017,3.179,3.012,2.0,1.179,1.012
2017-04-01,Q2 2017,3.153,2.737,2.3,0.853,0.437
2017-07-01,Q3 2017,3.307,2.777,3.2,0.107,-0.423
2017-10-01,Q4 2017,3.198,2.978,4.6,-1.402,-1.622
2018-01-01,Q1 2018,3.708,3.765,3.3,0.408,0.465
2018-04-01,Q2 2018,3.426,4.011,2.1,1.326,1.911
2018-07-01,Q3 2018,3.564,3.282,2.5,1.064,0.782
2018-10-01,Q4 2018,3.198,2.963,0.6,2.598,2.363
2019-01-01,Q1 2019,2.855,2.273,2.5,0.355,-0.227
2019-04-01,Q2 2019,3.102,2.09,3.4,-0.298,-1.31
2019-07-01,Q3 2019,3.055,3.148,4.8,-1.745,-1.652
2019-10-01,Q4 2019,3.128,3.897,2.8,0.328,1.097
